id,url,createdAt,text,authorUsername,authorName,authorFollowers,likeCount,replyCount,retweetCount,quoteCount,bookmarkCount,viewCount,lang,conversationId,inReplyToUsername,depth
"2098144307051970845","https://x.com/tylerjharden/status/2098144307051970845","Thu Sep 10 20:19:19 +0000 2026","@eminimnim Ok now actually make mine do that.","tylerjharden","i am jack’s autism","580","0","0","0","0","0","535","en","2098072497182666987","eminimnim","1"
"2098144415445361048","https://x.com/GSkrovina/status/2098144415445361048","Thu Sep 10 20:19:44 +0000 2026","@eminimnim very curious to see the final assembly!","GSkrovina","Garrett","6520","2","0","0","0","0","164","en","2098072497182666987","eminimnim","1"
"2098144719960150454","https://x.com/MaximePeabody/status/2098144719960150454","Thu Sep 10 20:20:57 +0000 2026","@eminimnim did you actually order the parts? this is cool","MaximePeabody","Maxime Peabody","439","1","0","0","0","0","133","en","2098072497182666987","eminimnim","1"
"2098145315849138406","https://x.com/HaimBender/status/2098145315849138406","Thu Sep 10 20:23:19 +0000 2026","@eminimnim the parts have to be soldered together tho no???","HaimBender","Haim Bender","258","5","1","0","0","0","582","en","2098072497182666987","eminimnim","3"
"2098145479058227282","https://x.com/frogtechbrah/status/2098145479058227282","Thu Sep 10 20:23:58 +0000 2026","@eminimnim That is cool. I've recently been thinking how somebody needs to have these models build Lego set plans. They could come up with some cool ones I bet!","frogtechbrah","Frogtech","131","1","0","0","0","0","159","en","2098072497182666987","eminimnim","1"
"2098145495843569756","https://x.com/midsingularity/status/2098145495843569756","Thu Sep 10 20:24:02 +0000 2026","@eminimnim I was today years old when I realized you could send Astra’a assets to sendcutsend and other vendors for build out. I actively want to buy this DJ deck if you ever sell it.","midsingularity","Cody","393","2","0","0","0","1","277","en","2098072497182666987","eminimnim","1"
"2098145825901961692","https://x.com/CyborgLavery/status/2098145825901961692","Thu Sep 10 20:25:21 +0000 2026","@eminimnim I was going to ask you for the specs so I could write a firmware for your board here, but I just realized I could just give this video to the AI and tell it to make me a firmware for your board.","CyborgLavery","TheSeanLavery","1943","4","0","0","0","0","378","en","2098072497182666987","eminimnim","1"
"2098146002964189222","https://x.com/HudsonGouge/status/2098146002964189222","Thu Sep 10 20:26:03 +0000 2026","@eminimnim GPT-7 will assemble it for you.","HudsonGouge","Hudson Gouge","123","2","0","0","0","0","341","en","2098072497182666987","eminimnim","1"
"2098146134631805331","https://x.com/DavidPlakon/status/2098146134631805331","Thu Sep 10 20:26:34 +0000 2026","@eminimnim Just in codex?","DavidPlakon","David Plakon","945","0","0","0","0","0","79","en","2098072497182666987","eminimnim","1"
"2098146194291577109","https://x.com/0rgest/status/2098146194291577109","Thu Sep 10 20:26:49 +0000 2026","@eminimnim Dope!","0rgest","Orgest","73","0","0","0","0","0","22","en","2098072497182666987","eminimnim","1"
"2098146426656354573","https://x.com/sheriffly/status/2098146426656354573","Thu Sep 10 20:27:44 +0000 2026","@eminimnim Spend $2000 in credits to customize something which can be bought on temu for probably 10x cheaper.","sheriffly","Sheriff","902","0","0","0","0","0","113","en","2098072497182666987","eminimnim","1"
"2098146665404252598","https://x.com/henryvelez/status/2098146665404252598","Thu Sep 10 20:28:41 +0000 2026","@eminimnim Show me the machine.","henryvelez","Henry Velez","448","0","0","0","0","0","131","en","2098072497182666987","eminimnim","1"
"2098146728973094918","https://x.com/futureundergrnd/status/2098146728973094918","Thu Sep 10 20:28:56 +0000 2026","@eminimnim That’s insane","futureundergrnd","isambard kingdom brochacho","147","0","0","0","0","0","201","en","2098072497182666987","eminimnim","1"
"2098146794068656404","https://x.com/TechMDAI/status/2098146794068656404","Thu Sep 10 20:29:12 +0000 2026","@eminimnim That’s cool 😎","TechMDAI","TechMD","1634","0","0","0","0","0","153","en","2098072497182666987","eminimnim","1"
"2098146852260438316","https://x.com/marscitizenone/status/2098146852260438316","Thu Sep 10 20:29:25 +0000 2026","@eminimnim Was this from a single prompt or how much back and forth did this require? What did the cost come out to be of the hardware itself that Astra ordered?","marscitizenone","marscitizenone","39","0","0","0","0","0","1172","en","2098072497182666987","eminimnim","1"
"2098147091033760252","https://x.com/CritGuides/status/2098147091033760252","Thu Sep 10 20:30:22 +0000 2026","@eminimnim Did you tell it not to make any mistakes?","CritGuides","CriticalGuides","406","2","0","0","0","0","350","en","2098072497182666987","eminimnim","1"
"2098147239222718732","https://x.com/_Faraz/status/2098147239222718732","Thu Sep 10 20:30:58 +0000 2026","@eminimnim Bananas","_Faraz","Faraz 🇺🇸 🚀","5718","3","0","0","0","0","231","in","2098072497182666987","eminimnim","1"
"2098147350711820454","https://x.com/beardsmol/status/2098147350711820454","Thu Sep 10 20:31:24 +0000 2026","@eminimnim 1 second after you flip the power on https://t.co/6wokF4xFQ2","beardsmol","night talker","17","3","1","0","0","0","417","en","2098072497182666987","eminimnim","1"
"2098147420664152069","https://x.com/leahy30xy/status/2098147420664152069","Thu Sep 10 20:31:41 +0000 2026","@eminimnim hopefully it doesn’t buy 6 different injection mold dies to make it","leahy30xy","Leahy","183","6","0","0","0","0","548","en","2098072497182666987","eminimnim","1"
"2098147442789089694","https://x.com/joshhfm/status/2098147442789089694","Thu Sep 10 20:31:46 +0000 2026","@eminimnim This is the coolest thing I’ve seen Astra do so far!","joshhfm","Joshhfm","405","0","0","0","0","0","96","en","2098072497182666987","eminimnim","1"
"2098147462573928657","https://x.com/jyashouafar/status/2098147462573928657","Thu Sep 10 20:31:51 +0000 2026","@eminimnim I need to do this. What was your build cost on it?","jyashouafar","Justin Ξ. Yashouafar","2496","0","0","0","0","0","147","en","2098072497182666987","eminimnim","1"
"2098147501228384276","https://x.com/DogenJones/status/2098147501228384276","Thu Sep 10 20:32:00 +0000 2026","@eminimnim even if the parts do come together like this (doubtful) you'll still have to program all the inputs and outputs and sound design, 0% chance this works","DogenJones","tyler durder","37","3","1","0","0","0","458","en","2098072497182666987","eminimnim","1"
"2098147534887690568","https://x.com/niemerg/status/2098147534887690568","Thu Sep 10 20:32:08 +0000 2026","@eminimnim You're going to build it, right?","niemerg","Allan","4805","1","0","0","0","0","208","en","2098072497182666987","eminimnim","1"
"2098148244513493454","https://x.com/BoroGhor/status/2098148244513493454","Thu Sep 10 20:34:57 +0000 2026","@eminimnim bruh 2026 is crazy","BoroGhor","₿oro Ghor","840","1","0","0","0","0","126","en","2098072497182666987","eminimnim","1"
"2098148243439841349","https://x.com/resolvedmotion/status/2098148243439841349","Thu Sep 10 20:34:57 +0000 2026","@eminimnim Publish your stack and prompts and we'll believe you.","resolvedmotion","Resolved Motion","496","3","0","0","0","0","132","en","2098072497182666987","eminimnim","1"
"2098148325317038141","https://x.com/GeraldG42/status/2098148325317038141","Thu Sep 10 20:35:17 +0000 2026","@trollied @eminimnim The ""ai"" probably just stole some open source thing too.","GeraldG42","Nosferatu","255","1","0","0","0","0","86","en","2098072497182666987","trollied","2"
"2098148386733949283","https://x.com/EDIMOSIP/status/2098148386733949283","Thu Sep 10 20:35:31 +0000 2026","@eminimnim @kenyondigital DJ Concept Turntable https://t.co/6IfkmoIKKd","EDIMOSIP","EDIMO PEREIRA","1638","0","0","1","0","1","869","en","2098072497182666987","eminimnim","3"
"2098148479440662780","https://x.com/EDIMOSIP/status/2098148479440662780","Thu Sep 10 20:35:53 +0000 2026","@eminimnim https://t.co/6IfkmoIKKd","EDIMOSIP","EDIMO PEREIRA","1638","0","0","1","0","0","162","qme","2098072497182666987","eminimnim","1"
"2098148699251605924","https://x.com/Borchooga/status/2098148699251605924","Thu Sep 10 20:36:46 +0000 2026","@eminimnim Show it once its built. Proof in pudding, not a pretty slideshow.","Borchooga","Borchooga","178","0","0","0","0","0","30","en","2098072497182666987","eminimnim","1"
"2098148802129695067","https://x.com/davidfeldt/status/2098148802129695067","Thu Sep 10 20:37:10 +0000 2026","@eminimnim As the founder of https://t.co/PYmiMLPulP I am incredibly skeptical","davidfeldt","David Feldt 🦕","3191","7","0","0","0","6","273","en","2098072497182666987","eminimnim","1"
"2098148799470276893","https://x.com/alexflorias/status/2098148799470276893","Thu Sep 10 20:37:10 +0000 2026","Smells fishy, most every micro controller/chip vendor has minimum order quantities. Typically in the prototyping process you’ll work with a vendor that has those parts on hand to make you a prototype, or you contact individual suppliers for 1 off components at a GREATLY increased cost. Call intel, and try to get 1 single USB4/TB4 IO controller Call Texas Instruments and try to get 1 single USB4/TB4 DAC Call Parade Technologies and try to get 1 single USB-C PD controller Chinese suppliers have these parts on hand so they can make a prototype for you, it’s much harder to order parts for DIY assembly. On top of that, only recently have machine shops like @sendcutsend started providing hobbyists with low quantity CNC parts for things like chasis/knobs","alexflorias","Alex","23971","4","5","0","0","0","748","en","2098072497182666987","eminimnim","1"
"2098149291189846425","https://x.com/EpocryphaX/status/2098149291189846425","Thu Sep 10 20:39:07 +0000 2026","@eminimnim I didn’t think Astra could execute financial transactions. How do you achieve that? Literally tried it yesterday.","EpocryphaX","Nick","234","0","0","0","0","0","81","en","2098072497182666987","eminimnim","1"
"2098149304204394871","https://x.com/_MB_pt/status/2098149304204394871","Thu Sep 10 20:39:10 +0000 2026","@eminimnim Strange how we don't have a terminator yet","_MB_pt","Mauro Brandão PT / MB-PT🐼🀄","613","0","0","0","0","0","27","en","2098072497182666987","eminimnim","1"
